Name,State,Control,Region,Enrollment
Kent State University at Kent,OH,Public,Midwest,22403
East Carolina University,NC,Public,Southeast,22598
University of Arkansas,AR,Public,Southeast,22763
North Carolina State University at Raleigh,NC,Public,Southeast,22801
Ohio University-Main Campus,OH,Public,Midwest,22936
University of Massachusetts-Amherst,MA,Public,Northeast,23010
Louisiana State University and Agricultural & Mechanical College,LA,Public,Southeast,23331
University of Iowa,IA,Public,Midwest,23349
Auburn University,AL,Public,Southeast,23391
University of Utah,UT,Public,West,23402
University of Missouri-Columbia,MO,Public,Midwest,23455
University of North Carolina at Charlotte,NC,Public,Southeast,23622
Florida Atlantic University,FL,Public,Southeast,23748
Colorado State University-Fort Collins,CO,Public,West,23804
The University of Texas Rio Grande Valley,TX,Public,West,24142
California State Polytechnic University-Pomona,CA,Public,West,24205
Arizona State University-Skysong,AZ,Public,West,24244
George Mason University,VA,Public,Southeast,24395
California State University-Los Angeles,CA,Public,West,24780
University of Nevada-Las Vegas,NV,Public,West,24783
Washington State University,WA,Public,West,24797
Oregon State University,OR,Public,West,24921
Georgia State University,GA,Public,Southeast,25031
University of Cincinnati-Main Campus,OH,Public,Midwest,25523
University of South Carolina-Columbia,SC,Public,Southeast,25550
The University of Texas at San Antonio,TX,Public,West,25709
San Francisco State University,CA,Public,West,25966
New York University,NY,Private,Northeast,26055
Northern Arizona University,AZ,Public,West,26974
Virginia Polytechnic Institute and State University,VA,Public,Southeast,27120
Utah Valley University,UT,Public,West,27428
San Jose State University,CA,Public,West,27591
California State University-Sacramento,CA,Public,West,28410
University of Colorado Boulder,CO,Public,West,28565
University of California-San Diego,CA,Public,West,28577
University of Georgia,GA,Public,Southeast,28740
Temple University,PA,Public,Northeast,29037
University of Maryland-College Park,MD,Public,Northeast,29273
University of California-Irvine,CA,Public,West,29295
University of Michigan-Ann Arbor,MI,Public,Midwest,29550
San Diego State University,CA,Public,West,29781
University of Wisconsin-Madison,WI,Public,Midwest,29930
University of California-Davis,CA,Public,West,30046
Iowa State University,IA,Public,Midwest,30116
University of Washington-Seattle Campus,WA,Public,West,30295
Texas Tech University,TX,Public,West,30330
University of California-Berkeley,CA,Public,West,30574
University of South Florida-Main Campus,FL,Public,Southeast,30918
University of California-Los Angeles,CA,Public,West,30994
Excelsior College,NY,Private,Northeast,31039
Brigham Young University-Provo,UT,Private,West,31233
California State University-Long Beach,CA,Public,West,31402
University of North Texas,TX,Public,West,31448
University of Minnesota-Twin Cities,MN,Public,Midwest,31535
Purdue University-Main Campus,IN,Public,Midwest,31887
Kennesaw State University,GA,Public,Southeast,32309
The University of Alabama,AL,Public,Southeast,32387
Florida State University,FL,Public,Southeast,32614
University of Illinois at Urbana-Champaign,IL,Public,Midwest,32884
The University of Texas at Arlington,TX,Public,West,32955
Indiana University-Bloomington,IN,Public,Midwest,33104
University of Arizona,AZ,Public,West,33428
University of Florida,FL,Public,Southeast,33655
Texas State University,TX,Public,West,34180
Brigham Young University-Idaho,ID,Private,West,35038
California State University-Fullerton,CA,Public,West,35045
Rutgers University-New Brunswick,NJ,Public,Northeast,35296
California State University-Northridge,CA,Public,West,35620
University of Houston,TX,Public,West,35985
Michigan State University,MI,Public,Midwest,38770
The University of Texas at Austin,TX,Public,West,39965
Pennsylvania State University-Main Campus,PA,Public,Northeast,40553
Florida International University,FL,Public,Southeast,41834
Arizona State University-Tempe,AZ,Public,West,42181
University of Maryland-University College,MD,Public,Northeast,42289
Ohio State University-Main Campus,OH,Public,Midwest,44853
Liberty University,VA,Private,Southeast,45364
Texas A & M University-College Station,TX,Public,West,52568
University of Central Florida,FL,Public,Southeast,56366
Southern New Hampshire University,NH,Private,Northeast,68214
Western Governors University,UT,Private,West,72385
